Date,week_num,A,B,C,D
12/07/2011,341,0,0,0,0
19/07/2011,342,0,0,0,0
26/07/2011,343,0,0,0,0
02/08/2011,344,0,0,0,0
09/08/2011,345,0,0,0,0
16/08/2011,346,0,0,0,0
23/08/2011,347,0,0,0,0
30/08/2011,348,0,0,0,0
06/09/2011,349,0,0,0,0
13/09/2011,350,0,0,0,0
20/09/2011,351,0,0,0,0
27/09/2011,352,0,0,0,0
04/10/2011,353,0,0,0,0
11/10/2011,354,0,0,0,0
18/10/2011,355,0,0,0,0
25/10/2011,356,0,0,0,0
01/11/2011,357,0,0,0,0
08/11/2011,358,0,0,0,0
15/11/2011,359,0,0,0,0
22/11/2011,360,0,0,0,0
29/11/2011,361,0,0,0,0
06/12/2011,362,0,0,0,0
13/12/2011,363,0,0,0,0
20/12/2011,364,0,0,0,0
27/12/2011,365,0,0,0,0
03/01/2012,366,0,0,0,0
10/01/2012,367,0,0,0,0
17/01/2012,368,0,0,0,0
24/01/2012,369,0,0,0,0
31/01/2012,370,0,0,0,0
07/02/2012,371,0,0,0,0
14/02/2012,372,0,0,0,0
21/02/2012,373,0,0,0,0
28/02/2012,374,0,0,0,0
06/03/2012,375,0,0,0,0
13/03/2012,376,0,0,0,0
20/03/2012,377,0,0,0,0
27/03/2012,378,0,0,0,0
03/04/2012,379,0,0,0,0
10/04/2012,380,0,0,0,0
17/04/2012,381,0,0,0,0
24/04/2012,382,0,0,0,0
01/05/2012,383,0,0,0,0
08/05/2012,384,0,0,0,0
15/05/2012,385,0,0,0,0
22/05/2012,386,0,0,0,0
29/05/2012,387,0,0,0,0
05/06/2012,388,0,0,0,0
12/06/2012,389,0,0,0,0
19/06/2012,390,0,0,0,0
26/06/2012,391,0,0,0,0
03/07/2012,392,0,0,0,0
10/07/2012,393,0,0,0,0
17/07/2012,394,0,0,0,0
24/07/2012,395,0,0,0,0
31/07/2012,396,0,0,0,0
07/08/2012,397,0,0,0,0
14/08/2012,398,0,0,0,0
21/08/2012,399,0,0,0,0
28/08/2012,400,0,0,0,0
04/09/2012,401,0,0,0,0
11/09/2012,402,0,0,0,0
18/09/2012,403,0,0,0,0
25/09/2012,404,0,0,0,0
02/10/2012,405,0,0,0,0
09/10/2012,406,0,0,0,0
16/10/2012,407,0,0,0,0
23/10/2012,408,0,0,0,0
30/10/2012,409,0,0,0,0
06/11/2012,410,0,0,0,0
13/11/2012,411,0,0,0,0
20/11/2012,412,0,0,0,0
27/11/2012,413,0,0,0,0
04/12/2012,414,0,0,0,0
11/12/2012,415,0,0,0,0
18/12/2012,416,0,0,0,0
25/12/2012,417,0,0,0,0
