id,ST,Source
SC0334,50,Bovine
SC0335,21,Bovine
SC0336,42,Bovine
SC0337,1517,Bovine
SC0338,45,Bovine
SC0339,42,Bovine
SC0340,53,Bovine
SC0342,38,Bovine
SC0343,4337,Bovine
SC0344,4337,Bovine
SC0345,53,Bovine
SC0347,50,Bovine
SC0348,758,Bovine
SC0349,6964,Poultry
SC0350,6964,Poultry
SC0351,583,Poultry
SC0353,508,Human
SC0354,22,Human
SC0356,227,Human
SC0357,22,Human
SC0358,6964,Human
SC0359,6964,Human
SC0360,48,Human
SC0362,50,Human
SC0363,45,Human
SC0364,227,Human
SC0366,2026,Human
SC0367,3676,Human
SC0368,53,Human
SC0369,50,Human
SC0370,6964,Human
SC0371,4337,Human
SC0374,4337,Ovine
SC0375,1517,Ovine
SC0376,4337,Ovine
SC0377,393,Ovine
SC0378,42,Ovine
SC0379,50,Ovine
SC0380,257,Ovine
SC0381,474,Ovine
SC0382,42,Ovine
SC0383,474,Ovine
SC0389,6964,Poultry
SC0392,48,Human
SC0393,45,Human
SC0394,53,Human
SC0397,50,Human
SC0398,2026,Human
SC0399,61,Human
SC0400,50,Human
SC0401,227,Human
SC0402,618,Human
SC0403,61,Human
SC0404,422,Human
SC0405,48,Poultry
SC0406,696,Poultry
SC0407,190,Poultry
SC0411,48,Human
SC0413,5655,Human
SC0415,4337,Human
SC0417,48,Human
SC0420,6964,Human
SC0421,48,Human
SC0423,53,Human
SC0424,42,Human
SC0425,190,Human
SC0426,474,Human
SC0427,2535,Human
SC0428,474,Human
SC0431,50,Human
SC0432,1517,Human
SC0433,53,Poultry
SC0434,48,Poultry
SC0436,42,Bovine
SC0437,42,Bovine
SC0439,53,Bovine
SC0440,61,Bovine
SC0441,583,Bovine
SC0442,696,Bovine
SC0443,992,Bovine
SC0445,48,Human
SC0449,50,Human
SC0450,508,Human
SC0451,227,Human
SC0452,50,Poultry
SC0455,50,Poultry
SC0461,6964,Human
SC0462,50,Human
SC0464,538,Human
SC0465,257,Human
SC0467,48,Human
SC0469,53,Human
SC0470,50,Human
SC0472,6964,Poultry
SC0473,48,Poultry
SC0474,422,Poultry
SC0479,190,Ovine
SC0480,436,Ovine
SC0482,42,Ovine
SC0487,474,Human
SC0488,48,Human
SC0490,190,Human
SC0491,48,Human
SC0492,45,Human
SC0495,6964,Human
SC0498,6964,Poultry
SC0499,6964,Poultry
SC0500,6964,Poultry
SC0501,6964,Poultry
SC0502,1956,Human
SC0503,6964,Poultry
SC0508,3711,Human
SC0514,6964,Human
SC0515,6964,Poultry
SC0516,50,Poultry
SC0517,583,Poultry
SC0518,4500,Poultry
SC0519,6964,Poultry
SC0520,45,Poultry
SC0521,2345,Poultry
SC0522,4337,Poultry
SC0523,48,Poultry
SC0524,48,Poultry
SC0525,48,Poultry
SC0526,227,Poultry
SC0528,6964,Human
SC0529,53,Human
SC0530,6964,Human
SC0531,508,Human
SC0536,2026,Human
SC0537,50,Human
SC0538,190,Human
SC0539,45,Human
SC0541,190,Bovine
SC0542,422,Bovine
SC0543,61,Bovine
SC0544,2392,Bovine
SC0546,53,Bovine
SC0547,3538,Bovine
SC0548,474,Bovine
SC0549,21,Bovine
SC0550,3711,Bovine
SC0551,61,Bovine
SC0552,257,Bovine
SC0553,486,Human
SC0554,42,Human
SC0555,583,Human
SC0556,45,Human
SC0557,45,Human
SC0558,227,Human
SC0560,61,Human
SC0567,48,Human
SC0578,42,Ovine
SC0580,61,Ovine
SC0582,42,Ovine
SC0583,422,Ovine
SC0584,3676,Ovine
SC0586,4337,Human
SC0588,583,Human
SC0589,6964,Human
SC0592,12762,Human
SC0595,48,Human
SC0596,48,Human
SC0597,2345,Human
SC0600,422,Human
SC0606,6964,Poultry
SC0607,227,Poultry
SC0608,48,Poultry
SC0616,6964,Poultry
SC0617,48,Poultry
SC0619,6964,Poultry
SC0620,6964,Poultry
SC0621,6964,Poultry
SC0624,6964,Human
SC0626,583,Human
SC0628,2081,Human
SC0629,520,Human
SC0635,6964,Human
SC0637,696,Human
SC0638,422,Human
SC0639,12761,Human
SC0644,190,Poultry
SC0645,227,Poultry
SC0646,6964,Poultry
SC0647,45,Poultry
SC0649,227,Human
SC0650,6964,Human
SC0651,1517,Human
SC0656,227,Human
SC0660,45,Human
SC0661,53,Human
SC0663,422,Human
SC0665,53,Human
SC0666,21,Human
SC0668,2345,Human
SC0671,2345,Poultry
SC0672,583,Poultry
SC0673,52,Poultry
SC0675,8185,Poultry
SC0676,190,Poultry
SC0678,48,Poultry
SC0679,48,Poultry
SC0680,583,Poultry
SC0681,6964,Poultry
SC0684,677,Human
SC0685,25,Human
SC0687,45,Human
SC0688,45,Human
SC0689,48,Human
SC0690,48,Human
SC0691,696,Human
SC0692,6964,Human
SC0693,2341,Bovine
SC0694,61,Bovine
SC0695,50,Bovine
SC0696,2026,Bovine
SC0698,48,Human
SC0700,45,Human
SC0702,48,Human
SC0703,45,Human
SC0705,227,Human
SC0706,50,Ovine
SC0707,42,Ovine
SC0714,2026,Ovine
SC0721,227,Human
SC0722,50,Human
SC0723,6964,Human
SC0724,45,Human
SC0727,48,Human
SC0730,6964,Human
SC0732,474,Human
SC0733,42,Human
SC0734,50,Human
SC0735,4337,Human
SC0736,21,Human
SC0744,227,Human
SC0747,508,Human
SC0748,6964,Human
SC0750,137,Human
SC0751,2026,Human
SC0753,48,Human
SC0754,6964,Human
SC0756,190,Human
SC0758,45,Human
SC0762,6964,Poultry
SC0763,6964,Poultry
SC0764,4337,Poultry
SC0765,6964,Poultry
SC0770,51,Human
SC0771,6964,Human
SC0773,486,Human
SC0777,486,Human
SC0780,486,Human
SC0781,48,Human
SC0783,190,Human
SC0784,583,Poultry
SC0785,583,Poultry
SC0786,486,Poultry
SC0787,6964,Poultry
SC0788,48,Poultry
SC0789,2345,Poultry
SC0791,227,Human
SC0792,677,Human
SC0795,257,Human
SC0796,50,Human
SC0797,4337,Human
SC0799,227,Human
SC0801,2538,Human
SC0803,520,Human
SC0805,6964,Human
SC0807,227,Human
SC0808,45,Human
SC0809,190,Human
SC0811,21,Human
SC0812,48,Human
SC0813,42,Bovine
SC0814,53,Bovine
SC0815,53,Bovine
SC0816,50,Bovine
SC0817,61,Bovine
SC0818,50,Bovine
SC0819,21,Bovine
SC0821,6964,Poultry
SC0823,48,Human
SC0824,53,Human
SC0826,227,Human
SC0827,42,Human
SC0830,4337,Human
SC0832,48,Human
SC0834,190,Human
SC0836,48,Human
SC0837,53,Human
SC0838,2345,Human
SC0841,42,Human
SC0845,4337,Human
SC0846,6964,Human
SC0849,508,Ovine
SC0854,2340,Ovine
SC0855,61,Ovine
SC0856,61,Ovine
SC0860,42,Ovine
SC0862,45,Poultry
SC0863,53,Poultry
SC0864,6964,Poultry
SC0865,4337,Poultry
SC0866,6964,Poultry
SC0867,6964,Poultry
SC0870,520,Human
SC0871,6964,Human
SC0873,45,Human
SC0874,45,Human
SC0876,1326,Human
SC0877,61,Human
SC0878,45,Human
SC0879,45,Human
SC0880,38,Human
SC0881,50,Human
SC0882,45,Human
SC0883,45,Human
SC0886,45,Human
SC0887,2026,Human
SC0888,3538,Human
SC0889,583,Human
SC0890,61,Bovine
SC0891,61,Bovine
SC0892,53,Bovine
SC0893,42,Bovine
SC0894,53,Bovine
SC0895,535,Bovine
SC0896,61,Bovine
SC0897,53,Bovine
SC0898,53,Bovine
SC0899,1517,Bovine
SC0902,53,Bovine
SC0903,3717,Bovine
SC0904,50,Bovine
SC0905,1517,Bovine
SC0907,538,Human
SC0908,6964,Human
SC0910,45,Human
SC0911,48,Human
SC0914,61,Human
SC0918,583,Human
SC0920,4337,Human
SC0923,4337,Human
SC0925,422,Human
SC0926,45,Human
SC0927,227,Human
SC0928,508,Human
SC0929,677,Human
SC0930,508,Human
SC0932,583,Human
SC0933,50,Human
SC0934,53,Human
SC0936,5655,Human
SC0937,227,Human
SC0938,227,Human
SC0939,2345,Human
SC0942,4337,Poultry
SC0943,535,Poultry
SC0944,2345,Poultry
SC0945,14909,Poultry
SC0946,45,Poultry
SC0950,53,Poultry
SC0951,520,Bovine
SC0952,520,Bovine
SC0953,61,Bovine
SC0954,520,Bovine
SC0955,42,Bovine
SC0956,2026,Bovine
SC0957,190,Bovine
SC0958,50,Bovine
SC0959,3711,Bovine
SC0960,42,Bovine
SC0962,2026,Bovine
SC0963,14186,Bovine
SC0964,3538,Human
SC0966,2535,Human
SC0968,45,Human
SC0971,48,Human
SC0973,45,Human
SC0975,45,Human
SC0976,53,Human
SC0977,45,Human
SC0978,45,Human
SC0980,45,Human
SC0981,45,Human
SC0986,583,Human
SC0988,6964,Poultry
SC0989,6964,Poultry
SC0993,45,Human
SC0994,53,Human
SC0995,48,Human
SC0997,50,Human
SC0999,677,Human
SC1001,2345,Human
SC1003,354,Human
SC1005,45,Human
SC1006,45,Human
SC1007,583,Human
SC1009,474,Human
SC1011,2345,Poultry
SC1012,53,Poultry
SC1013,422,Poultry
SC1015,45,Human
SC1016,12755,Human
SC1017,61,Human
SC1019,677,Human
SC1021,583,Human
SC1022,699,Human
SC1026,583,Human
SC1028,4337,Human
SC1029,12757,Human
SC1030,12758,Human
SC1031,227,Human
SC1032,25,Human
SC1033,4337,Human
SC1034,8658,Human
SC1035,48,Human
SC1036,4337,Human
SC1037,45,Human
SC1038,45,Human
SC1039,4337,Human
SC1041,677,Human
SC1042,48,Human
SC1043,190,Human
SC1044,474,Human
SC1046,583,Human
SC1056,25,Human
SC1057,4337,Human
SC1058,48,Human
SC1060,45,Ovine
SC1063,45,Ovine
SC1066,25,Human
SC1067,6964,Human
SC1069,45,Human
SC1071,45,Human
SC1072,677,Human
SC1076,677,Human
SC1079,45,Human
SC1081,45,Human
SC1082,583,Human
SC1086,2345,Human
SC1087,45,Human
SC1088,45,Human
SC1089,53,Human
SC1090,45,Human
SC1091,45,Human
SC1092,2345,Human
SC1094,45,Human
SC1095,61,Bovine
SC1096,42,Bovine
SC1097,42,Bovine
SC1098,53,Human
SC1099,45,Human
SC1100,677,Poultry
SC1101,48,Poultry
SC1102,45,Poultry
SC1103,45,Human
SC1104,2535,Human
SC1108,48,Human
SC1110,45,Human
SC1111,25,Human
SC1113,45,Human
SC1114,45,Human
SC1115,45,Human
SC1117,583,Human
SC1118,45,Human
SC1119,2345,Human
SC1121,257,Human
SC1122,137,Human
SC1123,583,Human
SC1125,583,Human
SC1126,677,Human
SC1128,45,Human
SC1129,177,Human
SC1131,21,Bovine
SC1132,53,Bovine
SC1133,53,Bovine
SC1134,42,Bovine
SC1135,53,Bovine
SC1136,53,Bovine
SC1138,3093,Bovine
SC1139,45,Bovine
SC1140,42,Bovine
SC1141,42,Bovine
SC1142,42,Bovine
SC1146,677,Human
SC1147,2345,Human
SC1148,6964,Human
SC1149,45,Human
SC1150,583,Human
SC1151,583,Human
SC1152,677,Human
SC1153,583,Human
SC1155,45,Human
SC1156,677,Human
SC1157,27,Human
SC1160,583,Human
SC1161,4492,Human
SC1162,21,Human
SC1163,45,Human
SC1164,45,Human
SC1165,2535,Human
SC1166,3712,Human
SC1169,583,Human
SC1170,422,Human
SC1173,45,Human
SC1176,583,Human
SC1180,45,Human
SC1181,50,Poultry
SC1182,53,Poultry
SC1183,22,Human
SC1185,45,Human
SC1188,53,Human
SC1189,677,Human
SC1190,45,Human
SC1191,51,Human
SC1194,2345,Human
SC1196,677,Human
SC1197,677,Human
SC1200,53,Human
SC1204,42,Bovine
SC1205,61,Bovine
SC1206,53,Bovine
SC1209,53,Ovine
SC1210,53,Ovine
SC1211,53,Ovine
SC1212,45,Ovine
SC1213,45,Human
SC1215,45,Human
SC1218,45,Human
SC1219,508,Human
SC1222,583,Human
SC1223,677,Human
SC1225,538,Human
SC1226,45,Human
SC1227,45,Human
SC1228,436,Human
SC1230,583,Human
SC1231,583,Human
SC1233,45,Human
SC1234,45,Human
SC1235,45,Human
SC1236,190,Poultry
SC1237,6964,Poultry
SC1238,53,Poultry
SC1239,48,Poultry
SC1240,45,Poultry
SC1241,45,Human
SC1242,677,Human
SC1243,583,Human
SC1244,45,Human
SC1245,677,Human
SC1247,45,Human
SC1248,451,Human
SC1249,45,Human
SC1250,45,Human
SC1251,4337,Human
SC1252,583,Human
SC1253,45,Human
SC1254,51,Human
SC1255,2345,Human
SC1256,45,Human
SC1257,4337,Human
SC1259,48,Human
SC1260,474,Human
SC1263,45,Human
SC1264,45,Human
SC1266,48,Human
SC1267,48,Human
SC1268,677,Human
SC1269,677,Human
SC1271,45,Human
SC1272,5647,Human
SC1273,583,Human
SC1274,583,Human
SC1275,53,Human
SC1276,45,Human
SC1278,538,Human
SC1279,45,Human
SC1280,45,Human
SC1281,38,Human
SC1284,3711,Human
SC1286,45,Human
SC1288,583,Human
SC1292,48,Human
SC1296,45,Human
SC1298,53,Human
SC1302,53,Human
SC1304,48,Human
SC1306,53,Human
SC1313,190,Human
SC1314,53,Poultry
SC1315,257,Poultry
SC1316,50,Poultry
SC1317,45,Poultry
SC1318,48,Poultry
SC1320,48,Poultry
SC1321,48,Poultry
SC1322,45,Poultry
SC1323,48,Poultry
SC1324,48,Poultry
SC1326,53,Poultry
SC1327,53,Poultry
SC1328,45,Poultry
SC1329,2345,Poultry
SC1330,4337,Poultry
SC1331,583,Human
SC1334,45,Human
SC1335,45,Human
SC1336,583,Human
SC1337,538,Human
SC1341,53,Human
SC1344,4337,Human
SC1345,583,Human
SC1346,2026,Human
SC1347,50,Human
SC1348,583,Human
SC1350,50,Human
SC1351,45,Human
SC1353,45,Human
SC1354,583,Human
SC1357,6964,Human
SC1361,583,Human
SC1363,45,Human
SC1364,583,Human
SC1365,45,Human
SC1366,583,Human
SC1369,45,Ovine
SC1370,2392,Ovine
SC1372,61,Ovine
SC1374,61,Ovine
SC1378,422,Human
SC1381,50,Poultry
SC1383,677,Human
SC1384,6139,Human
SC1385,486,Human
SC1386,190,Human
SC1389,45,Human
SC1390,53,Human
SC1391,45,Human
SC1393,45,Human
SC1394,45,Human
SC1396,21,Human
SC1397,583,Human
SC1399,45,Human
SC1400,45,Human
SC1401,61,Human
SC1403,12755,Human
SC1405,53,Human
SC1406,190,Human
SC1407,2345,Human
SC1411,2026,Bovine
SC1412,61,Bovine
SC1413,2026,Bovine
SC1414,2026,Bovine
SC1415,436,Bovine
SC1418,53,Bovine
SC1419,3711,Bovine
SC1420,51,Poultry
SC1425,583,Bovine
SC1426,583,Human
SC1427,45,Human
SC1428,53,Human
SC1429,583,Human
SC1432,48,Human
SC1433,45,Human
SC1435,21,Human
SC1437,2392,Ovine
SC1438,42,Ovine
SC1445,61,Ovine
SC1447,61,Ovine
SC1448,61,Ovine
SC1449,61,Ovine
SC1450,61,Ovine
SC1452,50,Ovine
SC1453,61,Ovine
SC1454,61,Ovine
SC1455,53,Ovine
SC1456,422,Ovine
SC1457,422,Ovine
SC1458,422,Ovine
SC1459,422,Ovine
SC1460,53,Human
SC1464,45,Human
SC1465,3538,Human
SC1466,45,Human
SC1467,45,Human
SC1470,422,Human
SC1472,38,Human
SC1473,45,Human
SC1474,618,Human
SC1475,53,Human
SC1476,3351,Human
SC1481,53,Human
SC1485,53,Human
SC1486,38,Human
SC1487,677,Human
SC1488,45,Human
SC1489,583,Human
SC1490,677,Human
SC1491,50,Ovine
SC1492,45,Ovine
SC1493,53,Ovine
SC1495,520,Ovine
SC1498,45,Ovine
SC1499,520,Ovine
SC1500,190,Ovine
SC1501,190,Ovine
SC1502,190,Ovine
SC1503,48,Human
SC1504,45,Human
SC1508,45,Human
SC1510,45,Human
SC1513,1919,Human
SC1514,190,Human
SC1516,21,Human
SC1517,53,Human
SC1518,53,Human
SC1521,51,Human
SC1522,190,Human
SC1526,4337,Ovine
SC1527,4337,Ovine
SC1528,4337,Ovine
SC1529,53,Ovine
SC1530,4337,Ovine
SC1531,61,Ovine
SC1532,45,Ovine
SC1533,45,Ovine
SC1534,45,Ovine
SC1535,45,Human
SC1538,2345,Human
SC1540,53,Human
SC1542,451,Human
SC1543,2345,Human
SC1544,6964,Human
SC1546,257,Human
SC1548,257,Human
SC1551,50,Human
SC1552,52,Human
SC1556,486,Human
SC1559,45,Human
SC1560,257,Human
SC1561,61,Human
SC1562,190,Human
SC1563,474,Human
SC1564,227,Human
SC1567,50,Ovine
SC1568,50,Ovine
SC1569,50,Ovine
SC1571,677,Human
SC1574,422,Human
SC1575,2345,Human
SC1576,422,Human
SC1578,12751,Human
SC1579,4337,Human
SC1580,53,Human
SC1583,22,Human
SC1585,50,Ovine
SC1586,42,Ovine
SC1587,42,Ovine
SC1588,42,Ovine
SC1590,3798,Bovine
SC1593,38,Bovine
SC1595,1517,Bovine
SC1596,3676,Bovine
SC1597,61,Bovine
SC1598,436,Bovine
SC1604,474,Human
SC1605,45,Human
SC1606,42,Human
SC1607,53,Human
SC1609,474,Human
SC1613,42,Bovine
SC1614,4337,Bovine
SC1615,42,Bovine
SC1616,3538,Ovine
SC1619,50,Ovine
SC1620,61,Ovine
SC1621,50,Ovine
SC1622,50,Ovine
SC1623,618,Ovine
SC1625,2026,Ovine
SC1626,50,Ovine
SC1627,42,Ovine
SC1629,61,Ovine
SC1630,61,Ovine
SC1637,474,Human
SC1639,48,Human
SC1642,61,Human
SC1648,2026,Human
SC1650,486,Human
SC1651,45,Human
SC1654,190,Human
SC1655,6964,Human
SC1656,508,Human
SC1658,53,Human
SC1659,45,Human
SC1660,474,Human
SC1664,474,Human
SC1666,53,Human
SC1667,2357,Bovine
SC1668,42,Bovine
SC1670,61,Bovine
SC1671,42,Bovine
SC1672,2350,Bovine
SC1674,422,Bovine
SC1675,61,Bovine
SC1676,50,Human
SC1678,1517,Human
SC1679,658,Human
SC1681,2345,Human
SC1683,4337,Human
SC1684,45,Human
SC1687,3538,Bovine
SC1688,42,Bovine
SC1690,48,Poultry
SC1691,2345,Poultry
SC1692,45,Poultry
SC1693,45,Poultry
SC1695,45,Poultry
SC1696,2345,Poultry
SC1698,227,Poultry
SC1699,6964,Poultry
SC1700,422,Poultry
SC1701,422,Poultry
SC1702,2345,Poultry
SC1704,45,Poultry
SC1709,45,Poultry
SC1710,6964,Poultry
SC1711,8187,Poultry
SC1712,53,Poultry
SC1713,45,Poultry
SC1714,45,Poultry
SC1715,53,Poultry
SC1719,6964,Poultry
SC1720,6964,Poultry
SC1721,48,Poultry
SC1722,583,Poultry
SC1723,3538,Poultry
SC1726,583,Poultry
SC1727,50,Poultry
SC1728,45,Poultry
SC1729,45,Poultry
