ID,Length
IncFIB|cluster_3,93689
IncFIB|cluster_4,93685
IncFIB|cluster_4,93687
IncFIB|cluster_4,93694
IncFIB|cluster_4,93672
IncFIB|cluster_5,93684
IncFIB|cluster_5,93655
IncFIB|cluster_6,93651
IncFIB|cluster_7,93647
IncFIB|cluster_8,93402
IncFIB|cluster_9,93363
IncHI2A|cluster_0,271169
IncI|cluster_0,121987
IncI|cluster_1,106191
IncI|cluster_1,106162
IncI|cluster_10,87623
IncI|cluster_11,87507
IncI|cluster_12,87060
IncI|cluster_13,86870
IncI|cluster_14,84830
IncI|cluster_2,106163
IncI|cluster_3,98009
IncI|cluster_4,95518
IncI|cluster_5,91679
IncI|cluster_6,90963
IncI|cluster_7,89695
IncI|cluster_8,88055
IncI|cluster_9,87778
IncK2/Z|cluster_0,87656
IncK2/Z|cluster_1,88935
IncN|cluster_0,42913
IncN|cluster_0,42907
IncN|cluster_0,42911
IncN|cluster_0,42893
IncN|cluster_0,42911
IncN|cluster_0,42925
IncN|cluster_0,42910
IncN|cluster_0,42920
IncN|cluster_0,42883
IncN|cluster_0,42913
IncN|cluster_0,41312
IncN|cluster_0,42910
IncN|cluster_1,42906
IncN|cluster_2,41571
IncN|cluster_3,34290
IncX1|cluster_0,32599
IncX1|cluster_0,32593
IncX1|cluster_0,32593
IncX4|cluster_0,35219
IncX4|cluster_1,33558
rep_1760|cluster_0,40638
rep_1760|cluster_1,45154
