"Date","week_num","A","B","C","D","E","F","G","H"
"10/03/2008",220,0,0,0,0,0,0,0,0
"17/03/2008",221,0,0,0,0,0,0,0,0
"24/03/2008",222,0,0,0,0,0,0,0,0
"31/03/2008",223,0,0,0,0,0,0,0,0
"07/04/2008",224,0,0,0,0,0,0,0,0
"14/04/2008",225,0,0,0,0,0,0,0,0
"21/04/2008",226,0,0,0,0,0,0,0,0
"28/04/2008",227,0,0,0,0,0,0,0,0
"05/05/2008",228,0,0,0,0,0,0,0,0
"12/05/2008",229,0,0,0,0,0,0,0,0
"19/05/2008",230,0,0,0,0,0,0,0,0
"26/05/2008",231,0,0,0,0,0,0,0,0
"02/06/2008",232,0,0,0,0,0,0,0,0
"09/06/2008",233,0,0,0,0,0,0,0,0
"16/06/2008",234,0,0,0,0,0,0,0,0
"23/06/2008",235,0,0,0,0,0,0,0,0
"30/06/2008",236,0,0,0,0,0,0,0,0
"07/07/2008",237,0,0,0,0,0,0,0,0
"14/07/2008",238,0,0,0,0,0,0,0,0
"21/07/2008",239,0,0,0,0,0,0,0,0
"28/07/2008",240,0,0,0,0,0,0,0,0
"04/08/2008",241,0,0,0,0,0,0,0,0
"11/08/2008",242,0,0,0,0,0,0,0,0
"18/08/2008",243,0,0,0,0,0,0,0,0
"25/08/2008",244,1,0,0,0,0,0,0,0
"01/09/2008",245,0,0,0,0,0,0,0,0
"08/09/2008",246,0,0,0,0,0,0,0,0
"15/09/2008",247,0,0,0,0,0,0,0,0
"22/09/2008",248,0,0,0,0,0,0,0,0
"29/09/2008",249,0,0,0,0,0,0,0,0
"06/10/2008",250,0,0,0,0,0,0,0,0
"13/10/2008",251,0,0,0,0,0,0,0,0
"20/10/2008",252,0,0,0,0,0,0,0,0
"27/10/2008",253,0,0,0,0,0,0,0,0
"03/11/2008",254,0,0,0,0,0,0,0,0
"10/11/2008",255,0,0,0,0,0,0,0,0
"17/11/2008",256,0,0,0,0,0,0,0,0
"24/11/2008",257,0,0,0,0,0,0,0,0
"01/12/2008",258,0,0,0,0,0,0,0,0
"08/12/2008",259,0,0,0,0,0,0,0,0
"15/12/2008",260,0,0,0,0,0,0,0,0
"22/12/2008",261,0,0,0,0,0,0,0,0
"29/12/2008",262,0,0,0,0,0,0,0,0
"05/01/2009",263,0,0,0,0,0,0,0,0
"12/01/2009",264,0,0,0,0,0,0,0,0
"19/01/2009",265,0,0,0,0,0,0,0,0
"26/01/2009",266,0,0,0,0,0,0,0,0
"02/02/2009",267,0,0,0,0,0,0,0,0
"09/02/2009",268,0,0,0,0,0,0,0,0
"16/02/2009",269,0,0,0,0,0,0,0,0
"23/02/2009",270,0,0,0,0,0,0,0,0
"02/03/2009",271,0,0,0,0,0,0,0,0
"09/03/2009",272,0,0,0,0,0,0,0,0
"16/03/2009",273,0,0,0,0,0,0,0,0
"23/03/2009",274,0,0,0,0,0,0,0,0
"30/03/2009",275,0,0,0,0,0,0,0,0
"06/04/2009",276,0,0,0,0,0,0,0,0
"13/04/2009",277,0,0,0,0,0,0,0,0
"20/04/2009",278,0,0,0,0,0,0,0,0
"27/04/2009",279,0,0,0,0,0,0,0,0
"04/05/2009",280,0,0,0,0,0,0,0,0
"11/05/2009",281,0,0,0,0,0,0,0,0
"18/05/2009",282,0,0,0,0,0,0,0,0
"25/05/2009",283,0,0,0,0,0,0,0,0
"01/06/2009",284,0,0,0,0,0,0,0,0
"08/06/2009",285,0,0,0,0,0,0,0,0
"15/06/2009",286,0,0,0,0,0,0,0,0
"22/06/2009",287,0,0,0,0,0,0,0,0
"29/06/2009",288,0,0,0,0,0,0,0,0
"06/07/2009",289,0,0,0,0,0,0,0,0
"13/07/2009",290,0,0,0,0,0,0,0,0
"20/07/2009",291,0,0,0,0,0,0,0,0
"27/07/2009",292,0,0,0,0,0,0,0,0
"03/08/2009",293,0,0,0,0,0,0,0,0
"10/08/2009",294,0,0,0,0,0,0,0,0
"17/08/2009",295,0,0,0,0,0,0,0,0
"24/08/2009",296,0,0,0,0,0,0,0,0
"31/08/2009",297,0,0,0,0,0,0,0,0
"07/09/2009",298,0,0,0,0,0,0,0,0
"14/09/2009",299,0,0,0,0,0,0,0,0
"21/09/2009",300,0,0,0,0,0,0,0,0
"28/09/2009",301,0,0,0,0,0,0,0,0
"05/10/2009",302,0,0,0,0,0,0,0,0
"12/10/2009",303,0,0,0,0,0,0,0,0
"19/10/2009",304,0,0,0,0,0,0,0,0
"26/10/2009",305,0,0,0,0,0,0,0,0
"02/11/2009",306,0,0,0,0,0,0,0,0
"09/11/2009",307,0,0,0,0,0,0,0,0
"16/11/2009",308,0,0,0,0,0,0,0,0
"23/11/2009",309,0,0,0,0,0,0,0,0
"30/11/2009",310,0,0,0,0,0,0,0,0
"07/12/2009",311,0,0,0,0,0,0,0,0
"14/12/2009",312,0,0,0,0,0,0,0,0
"21/12/2009",313,0,0,0,0,0,0,0,0
"28/12/2009",314,0,0,0,0,0,0,0,0
"04/01/2010",315,0,0,0,0,0,0,0,0
"11/01/2010",316,0,0,0,0,0,0,0,0
"18/01/2010",317,0,0,0,0,0,0,0,0
"25/01/2010",318,0,0,0,0,0,0,0,0
"01/02/2010",319,0,0,0,0,0,0,0,0
"08/02/2010",320,0,0,0,0,0,0,0,0
"15/02/2010",321,0,0,0,0,0,0,0,0
"22/02/2010",322,0,0,0,0,0,0,0,0
"01/03/2010",323,0,0,0,0,0,0,0,0
"08/03/2010",324,0,0,0,0,0,0,0,0
"15/03/2010",325,0,0,0,0,0,0,0,0
"22/03/2010",326,0,0,0,0,0,0,0,0
"29/03/2010",327,0,0,0,0,0,0,0,0
"05/04/2010",328,0,0,0,0,0,0,0,0
"12/04/2010",329,0,0,0,0,0,0,0,0
"19/04/2010",330,0,0,0,0,0,0,0,0
"26/04/2010",331,0,0,0,0,0,0,0,0
"03/05/2010",332,0,0,0,0,0,0,0,0
"10/05/2010",333,0,0,0,0,0,0,0,0
"17/05/2010",334,0,0,0,0,0,0,0,0
"24/05/2010",335,0,0,0,0,0,0,0,0
"31/05/2010",336,0,0,0,0,0,0,0,0
"07/06/2010",337,0,0,0,0,0,0,0,0
"14/06/2010",338,0,0,0,0,0,0,0,0
"21/06/2010",339,0,0,0,0,0,0,0,0
"28/06/2010",340,0,0,0,0,0,0,0,0
"05/07/2010",341,0,0,0,0,0,0,0,0
"12/07/2010",342,0,0,0,0,0,0,0,0
"19/07/2010",343,0,0,0,0,0,0,0,0
"26/07/2010",344,0,0,0,0,0,0,0,0
"02/08/2010",345,0,0,0,0,0,0,0,0
"09/08/2010",346,0,0,0,0,0,0,0,0
"16/08/2010",347,0,0,0,0,0,0,0,0
"23/08/2010",348,0,0,0,0,0,0,0,0
"30/08/2010",349,0,0,0,0,0,0,0,0
"06/09/2010",350,0,0,0,0,0,0,0,0
"13/09/2010",351,0,0,0,0,0,0,0,0
"20/09/2010",352,0,0,0,0,0,0,0,0
"27/09/2010",353,0,0,0,0,0,0,0,0
"04/10/2010",354,0,0,0,0,0,0,0,0
"11/10/2010",355,0,0,0,0,0,0,0,0
"18/10/2010",356,0,0,0,0,0,0,0,0
"25/10/2010",357,0,0,0,0,0,0,0,0
"01/11/2010",358,0,0,0,0,0,0,0,0
"08/11/2010",359,0,0,0,0,0,0,0,0
"15/11/2010",360,0,0,0,0,0,0,0,0
"22/11/2010",361,0,0,0,0,0,0,0,0
"29/11/2010",362,0,0,0,0,0,0,0,0
"06/12/2010",363,0,0,0,0,0,0,0,0
"13/12/2010",364,0,0,0,0,0,0,0,0
"20/12/2010",365,0,0,0,0,0,0,0,0
"27/12/2010",366,0,0,0,0,0,0,0,0
"03/01/2011",367,0,0,0,0,0,0,0,0
"10/01/2011",368,0,0,0,0,0,0,0,0
"17/01/2011",369,0,0,0,0,0,0,0,0
"24/01/2011",370,0,0,0,0,0,0,0,0
"31/01/2011",371,0,0,0,0,0,0,0,0
"07/02/2011",372,0,0,0,0,0,0,0,0
"14/02/2011",373,0,0,0,0,0,0,0,0
"21/02/2011",374,0,0,0,0,0,0,0,0
"28/02/2011",375,0,0,0,0,0,0,0,0
"07/03/2011",376,0,0,0,0,0,0,0,0
"14/03/2011",377,0,0,0,0,0,0,0,0
"21/03/2011",378,0,0,0,0,0,0,0,0
"28/03/2011",379,0,0,0,0,0,0,0,0
"04/04/2011",380,0,0,0,0,0,0,0,0
"11/04/2011",381,0,0,0,0,0,0,0,0
"18/04/2011",382,0,0,0,0,0,0,0,0
"25/04/2011",383,0,0,0,0,0,0,0,0
"02/05/2011",384,0,0,0,0,0,0,0,0
"09/05/2011",385,0,0,0,0,0,0,0,0
"16/05/2011",386,0,0,0,0,0,0,0,0
"23/05/2011",387,0,0,0,0,0,0,0,0
"30/05/2011",388,0,0,0,0,0,0,0,0
"06/06/2011",389,0,0,0,0,0,0,0,0
"13/06/2011",390,0,0,0,0,0,0,0,0
"20/06/2011",391,0,0,0,0,0,0,0,0
"27/06/2011",392,0,0,0,0,0,0,0,0
"04/07/2011",393,0,0,0,0,0,0,0,0
"11/07/2011",394,0,0,0,0,0,0,0,0
"18/07/2011",395,0,0,0,0,0,0,0,0
"25/07/2011",396,0,0,0,0,0,0,0,0
"01/08/2011",397,0,0,0,0,0,0,0,0
"08/08/2011",398,0,0,0,0,0,0,0,0
"15/08/2011",399,0,0,0,0,0,0,0,0
"22/08/2011",400,0,0,0,0,0,0,0,0
"29/08/2011",401,0,0,0,0,0,0,0,0
"05/09/2011",402,0,0,0,0,0,0,0,0
"12/09/2011",403,0,0,0,0,0,0,0,0
"19/09/2011",404,0,0,0,0,0,0,0,0
"26/09/2011",405,0,0,0,0,0,0,0,0
"03/10/2011",406,0,0,0,0,0,0,0,0
"10/10/2011",407,0,0,0,0,0,0,0,0
"17/10/2011",408,0,0,0,0,0,0,0,0
"24/10/2011",409,0,0,0,0,0,0,0,0
"31/10/2011",410,0,0,0,0,0,0,0,0
"07/11/2011",411,0,0,0,0,0,0,0,0
"14/11/2011",412,0,1,0,0,0,0,0,0
"21/11/2011",413,0,0,0,0,0,0,0,0
"28/11/2011",414,0,0,0,0,0,0,0,0
"05/12/2011",415,0,0,0,0,0,0,0,0
"12/12/2011",416,0,0,0,0,0,0,0,0
"19/12/2011",417,0,0,0,0,0,0,0,0
"26/12/2011",418,0,0,0,0,0,0,0,0
"02/01/2012",419,0,0,0,0,0,0,0,0
"09/01/2012",420,0,0,0,0,0,0,0,0
"16/01/2012",421,1,0,0,0,0,0,0,0
"23/01/2012",422,0,0,0,0,0,0,0,0
"30/01/2012",423,0,0,0,0,0,0,0,0
"06/02/2012",424,0,0,0,0,0,0,0,0
"13/02/2012",425,0,0,0,0,1,0,0,0
"20/02/2012",426,0,0,0,0,0,0,0,0
"27/02/2012",427,0,0,0,0,0,0,0,0
"05/03/2012",428,0,0,0,0,0,0,0,0
"12/03/2012",429,0,0,0,0,0,0,0,0
"19/03/2012",430,0,0,0,0,0,0,0,0
"26/03/2012",431,0,0,0,0,0,0,0,0
"02/04/2012",432,0,0,0,0,0,0,0,0
"09/04/2012",433,0,0,0,0,0,0,0,0
"16/04/2012",434,0,0,0,0,0,0,0,0
"23/04/2012",435,0,0,0,0,0,0,0,0
"30/04/2012",436,0,0,0,0,0,0,0,0
"07/05/2012",437,0,0,0,0,0,0,0,0
"14/05/2012",438,0,0,0,0,0,0,0,0
"21/05/2012",439,0,0,0,0,0,0,0,0
"28/05/2012",440,0,0,0,0,0,0,0,0
"04/06/2012",441,0,0,0,0,0,0,0,0
"11/06/2012",442,0,0,0,0,0,0,0,0
"18/06/2012",443,0,0,0,0,0,0,0,0
"25/06/2012",444,0,0,0,0,0,0,0,0
"02/07/2012",445,0,0,0,0,0,0,0,0
"09/07/2012",446,0,0,0,0,0,0,0,0
"16/07/2012",447,0,1,0,0,0,0,0,0
"23/07/2012",448,0,0,0,0,0,0,0,0
"30/07/2012",449,0,0,0,0,0,0,0,0
"06/08/2012",450,0,0,0,0,0,0,0,0
"13/08/2012",451,0,0,0,0,0,0,0,0
"20/08/2012",452,0,0,0,0,0,0,0,0
"27/08/2012",453,0,0,0,0,0,0,0,0
"03/09/2012",454,0,0,0,0,0,0,0,0
"10/09/2012",455,0,0,0,0,0,0,0,0
"17/09/2012",456,0,0,0,0,0,0,0,0
"24/09/2012",457,0,0,0,0,0,0,0,0
"01/10/2012",458,0,0,0,0,0,0,0,0
"08/10/2012",459,0,0,0,0,1,0,0,0
"15/10/2012",460,0,0,0,0,0,0,0,0
"22/10/2012",461,0,0,0,0,0,0,0,0
"29/10/2012",462,0,0,0,0,0,0,0,0
"05/11/2012",463,0,0,0,0,0,0,0,0
"12/11/2012",464,0,0,0,0,0,0,0,0
"19/11/2012",465,0,0,0,0,0,0,0,0
"26/11/2012",466,0,0,0,0,0,0,0,0
"03/12/2012",467,0,0,0,0,0,0,0,0
"10/12/2012",468,0,0,0,0,0,0,0,0
"17/12/2012",469,0,0,0,0,0,0,0,0
"24/12/2012",470,0,0,0,0,0,0,0,0
"31/12/2012",471,0,0,0,0,0,0,0,0
"07/01/2013",472,0,0,0,0,0,0,0,0
"14/01/2013",473,0,0,0,0,0,0,0,0
"21/01/2013",474,0,0,0,0,0,0,0,0
"28/01/2013",475,0,0,0,0,0,0,0,0
"04/02/2013",476,0,0,0,0,0,0,0,0
"11/02/2013",477,0,0,0,0,0,0,0,0
