label,ID,Source,Year,date,ESR number,Clades,Clades_B,tetA,other_AMR_genes,IncF,mobilisable_plasmids,other_conjugative,line
SBV161_plate02|2018.13424657534,SBV161,Human,2018,19/02/2018,18ER1047,B,D,0,0,1,1,0,1
SBV162_plate02|2018.1095890411,SBV162,Human,2018,10/02/2018,18ER1086,C,H,0,0,1,1,0,1
SBV163_plate02|2018.18356164384,SBV163,Human,2018,9/03/2018,18ER1319,C,H,0,0,1,1,0,1
SBV164_plate02|2018.19452054795,SBV164,Human,2018,13/03/2018,18ER1416,C,H,0,0,1,1,0,1
SBV165_plate02|2018.33150684932,SBV165,Human,2018,2/05/2018,18ER2147,B,D,0,0,1,1,0,1
SBV166_plate02|2018.34246575342,SBV166,Human,2018,6/05/2018,18ER2161,C,H,0,0,1,1,0,1
SBV167_plate02|2018.63561643836,SBV167,Human,2018,21/08/2018,18ER3558,C,H,0,0,1,1,0,1
SBV168_plate02|2018.62191780822,SBV168,Human,2018,16/08/2018,18ER3561,C,H,0,0,1,1,0,1
SBV169_plate02|2018.68219178082,SBV169,Human,2018,7/09/2018,18ER3883,C,H,0,0,1,1,0,1
SBV170_plate02|2018.77808219178,SBV170,Human,2018,12/10/2018,18ER4480,B,D,0,0,1,1,0,1
SBV171_plate02|2017.96438356164,SBV171,Ovine,2018,19/12/2017,18ER0058,C,H,0,0,1,1,0,1
SBV172_plate02|2018.01095890411,SBV172,Bovine,2018,5/01/2018,18ER0145,C,H,0,0,1,1,0,1
SBV173_plate02|2018.04657534247,SBV173,Bovine,2018,18/01/2018,18ER0505,C,H,0,0,1,1,0,1
SBV174_plate02|2018.06849315068,SBV174,Bovine,2018,26/01/2018,18ER0608,C,H,0,0,1,1,0,1
SBV175_plate02|2018.10410958904,SBV175,Bovine,2018,8/02/2018,18ER0775,C,H,0,0,1,1,0,1
SBV176_plate02|2018.42739726027,SBV176,Canine,2018,6/06/2018,18ER3184,B,D,0,0,1,1,0,1
SBV177_plate03|2018.14520547945,SBV177,Bovine,2018,23/02/2018,18ER1060,C,H,0,0,1,1,0,1
SBV178_plate03|2018.17534246575,SBV178,Bovine,2018,6/03/2018,18ER1287,B,D,0,0,1,1,0,1
SBV179_plate03|2018.19452054795,SBV179,Bovine,2018,13/03/2018,18ER1425,C,H,0,0,1,1,0,1
SBV180_plate03|2018.27123287671,SBV180,Bovine,2018,10/04/2018,18ER1821,C,H,0,0,1,1,0,1
SBV181_plate03|2018.27671232877,SBV181,Feline,2018,12/04/2018,18ER1869,C,H,0,0,1,1,0,1
SBV183_plate03|2018.33150684932,SBV183,Bovine,2018,2/05/2018,18ER2130,B,F,0,0,1,1,0,1
SBV184_plate03|2018.35890410959,SBV184,Bovine,2018,12/05/2018,18ER2241,C,H,0,0,1,1,0,1
SBV185_plate03|2018.40273972603,SBV185,Bovine,2018,28/05/2018,18ER2454,C,H,0,0,1,1,0,1
SBV186_plate03|2018.42465753425,SBV186,Bovine,2018,5/06/2018,18ER2545,C,H,0,0,1,1,0,1
SBV187_plate03|2018.46575342466,SBV187,Bovine,2018,20/06/2018,18ER2687,C,H,0,0,1,1,0,1
SBV188_plate03|2018.5095890411,SBV188,Bovine,2018,6/07/2018,18ER2861,C,H,0,0,1,1,0,1
SBV189_plate03|2018.56712328767,SBV189,Bovine,2018,27/07/2018,18ER3100,C,H,0,0,1,1,0,1
SBV190_plate03|2018.58082191781,SBV190,Bovine,2018,1/08/2018,18ER3179,C,H,0,0,1,1,0,1
SBV191_plate03|2018.58356164384,SBV191,Equine,2018,2/08/2018,18ER3235,C,H,0,0,1,1,0,1
SBV192_plate03|2018.64657534247,SBV192,Bovine,2018,25/08/2018,18ER3662,B,E,0,0,1,1,0,1
SBV193_plate03|2018.67397260274,SBV193,Bovine,2018,4/09/2018,18ER3858,C,H,0,0,1,1,1,1
SBV194_plate03|2018.67945205479,SBV194,Canine,2018,6/09/2018,18ER3888,C,H,0,0,1,1,0,1
SBV195_plate03|2018.71780821918,SBV195,Bovine,2018,20/09/2018,18ER4167,C,H,0,0,1,0,0,1
SBV196_plate03|2018.74794520548,SBV196,Bovine,2018,1/10/2018,18ER4314,B,D,0,0,1,1,0,1
SBV197_plate03|2018.79452054795,SBV197,Bovine,2018,18/10/2018,18ER4590,C,H,0,0,1,1,0,1
