Isolate,Isolate,level 1,level 2,Isolate,cluster_A,cluster_B,,,,,,,,Isolate
SBV094_plate02|2016.45081967213,SBV094,3,8,SBV094_plate02|2016.45081967213,C,H,,,,,,,,SBV094
SBV095_plate02|2016.34153005464,SBV095,3,8,SBV095_plate02|2016.34153005464,C,H,,,,,,,,SBV095
SBV096_plate02|2016.50819672131,SBV096,3,8,SBV096_plate02|2016.50819672131,C,H,,,,,,,,SBV096
SBV097_plate02|2016.53551912568,SBV097,3,8,SBV097_plate02|2016.53551912568,C,H,,,,,,,,SBV097
SBV098_plate02|2016.55191256831,SBV098,3,8,SBV098_plate02|2016.55191256831,C,H,,,,,,,,SBV098
SBV099_plate02|2016.56557377049,SBV099,2,5,SBV099_plate02|2016.56557377049,B,E,,,,,,,,SBV099
SBV100_plate02|2016.58196721311,SBV100,3,8,SBV100_plate02|2016.58196721311,C,H,,,,,,,,SBV100
SBV101_plate02|2016.60928961749,SBV101,3,8,SBV101_plate02|2016.60928961749,C,H,,,,,,,,SBV101
SBV102_plate02|2016.62568306011,SBV102,2,4,SBV102_plate02|2016.62568306011,B,D,,,,,,,,SBV102
SBV103_plate02|2016.65027322404,SBV103,2,4,SBV103_plate02|2016.65027322404,B,D,,,,,,,,SBV103
SBV104_plate02|2016.66666666667,SBV104,2,4,SBV104_plate02|2016.66666666667,B,D,,,,,,,,SBV104
SBV105_plate02|2016.68579234973,SBV105,3,8,SBV105_plate02|2016.68579234973,C,H,,,,,,,,SBV105
SBV106_plate02|2016.69672131148,SBV106,3,8,SBV106_plate02|2016.69672131148,C,H,,,,,,,,SBV106
SBV107_plate02|2016.7349726776,SBV107,2,4,SBV107_plate02|2016.7349726776,B,D,,,,,,,,SBV107
SBV108_plate02|2016.74316939891,SBV108,3,8,SBV108_plate02|2016.74316939891,C,H,,,,,,,,SBV108
SBV109_plate02|2019.62191780822,SBV109,3,8,SBV109_plate02|2019.62191780822,C,H,,,,,,,,SBV109
